Device ,Size [cm2],Temperature [C],Irradiance [W/m2],Jsc [mA/cm2],Isc [mA],Voc [mV],Impp [mA],Vmpp [mV],Pmpp [mW],FF [%],Eta [%],n1 ,n2 ,IscSlope [Ohm.cm2],Rshunt [Ohm.cm2],Rseries [mOhm.cm2],Jo1 [A/cm2],Jo2 [A/cm2],Slope Voc [mOhm.cm2],GaAs+PMMA+TR0%+L430W,GaAs+PMMA+TR1%+L430W,GaAs+PMMA+TR10%+L430W,GaAs+PMMA+TR15%+L430W,GaAs+PMMA+TR2%+L430W,GaAs+PMMA+TR3%+L430W,GaAs+PMMA+TR4%+L430W,GaAs+PMMA+TR5%+L430W,GaAs+PMMA+TR6%+L430W,GaAs+PMMA+TR7%+L430W,GaAs+PMMA+TR8%+L430W,GaAs+PMMA+TR9%+L430W,EuTTAbipy5%0.01,TiO4Al2O3,TiO2,TiO2Al2O3,Al2O3,-cap,RTA920,PMMA,TR,ARC,Submon2x4,SubMon2/4,SubMonML4/4,Al30%,Al82%,f2,f5,f8,f10,Ref GaAs,QDSKmeio,QDSKfundo,QDSK,I+,Si
3908,0.0483,25.0,1001.86243902439,12.4012118934503,0.598978534453652,903.679988188715,0.555673940617618,739.314989931964,0.410818073813169,75.8968266940206,8.50555018246727,2.1272,0.0,100000000.0,547315.417875322,37.193,3.8871e-11,0,126930.145507896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3908,0.0483,25.0,1001.86243902439,12.323754521578,0.595237343392217,846.492270924598,0.432521373575814,607.543736442791,0.262775651393619,52.152118467933,5.44048967688651,5.0,0.0,19228.8596368191,7382.7980804725,1.0617e-07,6.647e-07,0,228422.768220503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3908,0.0483,25.0,1001.86243902439,12.1185054270157,0.585323812124856,897.470938262316,0.542408502232528,747.726715728032,0.405573327957289,77.2063106179494,8.39696331174511,2.5399,0.0,100000000.0,0.0,0.89174,6.1276e-10,0,100420.885085804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3908,0.0483,25.0,1001.86243902439,11.9774936673358,0.57851294413232,894.212705202634,0.537313325080578,743.771068504702,0.399638105916996,77.2525769250251,8.2740808678467,2.1359,0.0,414035.885097317,516422.226812642,8.564,4.7613e-11,0,95718.6945548465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3908,0.0483,25.0,1001.86243902439,12.1305598875842,0.585906042570319,897.618489855803,0.547526865930889,750.410547101832,0.41086993501615,78.12402250053,8.50662391337785,2.0091,0.0,304988.598632551,896137.64674254,11.79,1.615e-11,0,97835.4227411616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3908,0.0483,25.0,1001.86243902439,12.1586598344369,0.587263270003303,901.019925807839,0.548841117450738,751.842404503173,0.412642025434371,77.984128315724,8.54331315599112,2.2019,0.0,473458.1756007,0.0,12.416,7.0507e-11,0,97453.4874645502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3908,0.0483,25.0,1001.86243902439,12.1892077041048,0.588738732108263,902.43971267642,0.548420699901304,755.352948257092,0.414251192555668,77.9691788778454,8.57662924545897,2.4323,0.0,520990.047147798,0.0,0.087891,3.051e-10,0,94634.1996758118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3908,0.0483,25.0,1001.86243902439,12.1746937142338,0.588037706397491,901.442097848111,0.549062759913649,754.505474844418,0.414270858388034,78.1522297327895,8.57703640554936,1.9979,0.0,100000000.0,543744.222717634,12.278,1.3677e-11,0,92465.1692371253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3908,0.0483,25.0,1001.86243902439,12.4414272216465,0.600920934805526,905.460407612727,0.559070808772849,742.974531671416,0.415375372319167,76.3403144317357,8.59990418880264,2.2301,0.0,432496.765187622,6719526.94530305,19.187,8.1897e-11,0,109410.783299841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3908,0.0483,25.0,1001.86243902439,12.4760384642299,0.602592657822306,905.205990755027,0.559834675270987,742.681112501393,0.415778639447113,76.2238566082875,8.60825340470213,2.5013,0.0,549165.062890506,0.0,9.93,4.5243e-10,0,107940.649002962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
