Open Time,Open,High,Low,Close,Volume,Close Time,QAV,No. Trades,Taker BBAV,Taker BQAV,Ignore
1616184120000,326948.00000000,326996.00000000,326745.00000000,326969.00000000,0.15175200,1616184179999,49619.34330200,18,0.15136200,49491.91275200,0
1616184180000,326608.00000000,326941.00000000,326606.00000000,326939.00000000,0.04152900,1616184239999,13569.66964600,12,0.02896200,9465.19840000,0
1616184240000,326939.00000000,326939.00000000,326492.00000000,326863.00000000,0.05614500,1616184299999,18339.21072900,12,0.00259500,848.23378900,0
1616184300000,326491.00000000,326677.00000000,326120.00000000,326121.00000000,0.15304300,1616184359999,49943.66200400,26,0.01276300,4169.29729000,0
1616184360000,326669.00000000,326671.00000000,326153.00000000,326671.00000000,0.04749700,1616184419999,15513.04046400,17,0.04287700,14006.20463200,0
1616184420000,326671.00000000,326857.00000000,326421.00000000,326700.00000000,0.24405100,1616184479999,79722.63247400,20,0.23639900,77224.77821400,0
1616184480000,326700.00000000,326858.00000000,326626.00000000,326856.00000000,0.16556500,1616184539999,54080.37453200,23,0.01980700,6472.01167200,0
1616184540000,326631.00000000,326854.00000000,326448.00000000,326684.00000000,0.22480600,1616184599999,73439.32691000,23,0.01645400,5378.03631000,0
1616184600000,326851.00000000,327264.00000000,326666.00000000,326944.00000000,0.62302000,1616184659999,203665.67766700,66,0.43284500,141520.18369300,0
1616184660000,326946.00000000,327265.00000000,326944.00000000,326944.00000000,0.10271900,1616184719999,33586.84107100,25,0.00834400,2730.67006100,0
1616184720000,326996.00000000,327895.00000000,326944.00000000,327895.00000000,1.41615200,1616184779999,463761.37388500,79,1.41071200,461982.78086700,0
1616184780000,327896.00000000,328000.00000000,327413.00000000,327503.00000000,0.17371600,1616184839999,56926.73674400,39,0.08363600,27426.05317500,0
1616184840000,327988.00000000,328405.00000000,327507.00000000,328396.00000000,0.38814400,1616184899999,127331.58391600,49,0.38478700,126230.67269100,0
1616184900000,328392.00000000,328403.00000000,327800.00000000,327800.00000000,0.19167100,1616184959999,62869.30845800,31,0.02505700,8228.77059800,0
1616184960000,328015.00000000,328396.00000000,327962.00000000,328396.00000000,0.02920800,1616185019999,9589.09382700,13,0.02716400,8918.73539500,0
1616185020000,328405.00000000,328500.00000000,328330.00000000,328500.00000000,0.77760500,1616185079999,255442.52359300,35,0.77431700,254362.77298300,0
1616185080000,328499.00000000,328500.00000000,328332.00000000,328333.00000000,0.23698700,1616185139999,77843.30315800,44,0.19556900,64244.40929500,0
1616185140000,328500.00000000,328800.00000000,328349.00000000,328758.00000000,0.33181100,1616185199999,109005.26028000,32,0.31737000,104263.49477400,0
1616185200000,328362.00000000,328444.00000000,327559.00000000,328444.00000000,0.52487100,1616185259999,172284.21957000,51,0.02622700,8611.75457000,0
